17021*2^150002-1 is not prime.  LLR Res64: B8C855235FEA8929  Time : 24.261 sec.
16543*2^150003-1 is not prime.  LLR Res64: F2206B828A1AF4D5  Time : 24.199 sec.
33373*2^150003-1 is not prime.  LLR Res64: 4C5E1E63ECFFE905  Time : 24.135 sec.
18607*2^150005-1 is not prime.  LLR Res64: 7D7CBC0FCE2235BB  Time : 24.064 sec.
25747*2^150005-1 is not prime.  LLR Res64: 544A0AAE66F75C99  Time : 24.048 sec.
20381*2^150006-1 is not prime.  LLR Res64: 0C55F1DC34BB28C4  Time : 24.127 sec.
31109*2^150008-1 is not prime.  LLR Res64: 4E3E1AF9F5C6C88F  Time : 24.032 sec.
24133*2^150011-1 is not prime.  LLR Res64: 8DA117DA1A15671E  Time : 24.084 sec.
30337*2^150013-1 is not prime.  LLR Res64: 448B9595098C3230  Time : 24.050 sec.
19121*2^150014-1 is not prime.  LLR Res64: 969F64DD838A13E7  Time : 24.018 sec.
20651*2^150014-1 is not prime.  LLR Res64: EF80E6A708BAA3D6  Time : 23.989 sec.
24221*2^150014-1 is not prime.  LLR Res64: FA06406BCF059A5A  Time : 24.139 sec.
20143*2^150015-1 is not prime.  LLR Res64: ED71DB04075FC172  Time : 24.158 sec.
25183*2^150015-1 is not prime.  LLR Res64: 54DBE3E3C1705C75  Time : 24.063 sec.
24097*2^150017-1 is not prime.  LLR Res64: 78D2052935418213  Time : 24.098 sec.
23111*2^150018-1 is not prime.  LLR Res64: 36963A8C785E541D  Time : 24.136 sec.
31301*2^150018-1 is not prime.  LLR Res64: 1C14C0C7A4B85379  Time : 24.011 sec.
20651*2^150022-1 is not prime.  LLR Res64: 4D1C7A7EE3904D76  Time : 24.166 sec.
22649*2^150024-1 is not prime.  LLR Res64: F6983EF2EF52DC78  Time : 24.027 sec.
32639*2^150024-1 is not prime.  LLR Res64: B44FA4EC55B137FD  Time : 23.983 sec.
28177*2^150025-1 is not prime.  LLR Res64: C9CEEE369EF5F8B2  Time : 24.024 sec.
22453*2^150027-1 is not prime.  LLR Res64: A1B5869C3A7677F3  Time : 23.984 sec.
23173*2^150027-1 is not prime.  LLR Res64: 2FED0C3A4F4A11DF  Time : 24.015 sec.
32887*2^150029-1 is not prime.  LLR Res64: 2A65BA782B9D79FD  Time : 24.511 sec.
17411*2^150030-1 is not prime.  LLR Res64: 02254EC54892B849  Time : 23.935 sec.
18103*2^150031-1 is not prime.  LLR Res64: 56BC0EE865E5DE3C  Time : 23.952 sec.
24523*2^150031-1 is not prime.  LLR Res64: 072733601CCAAEAA  Time : 23.963 sec.
20399*2^150032-1 is not prime.  LLR Res64: 5E04A20B1F938757  Time : 23.921 sec.
15997*2^150033-1 is not prime.  LLR Res64: 9B799BB6FC936E21  Time : 23.931 sec.
19507*2^150033-1 is not prime.  LLR Res64: E855404FB25FD520  Time : 24.067 sec.
28177*2^150033-1 is not prime.  LLR Res64: DC15A0C432D7553F  Time : 24.125 sec.
30283*2^150035-1 is not prime.  LLR Res64: A56FB0F7ECB80F63  Time : 24.005 sec.
18607*2^150037-1 is not prime.  LLR Res64: BB6888D9800AB15B  Time : 24.050 sec.
30337*2^150037-1 is not prime.  LLR Res64: 37A549F71456BE4C  Time : 23.976 sec.
31627*2^150037-1 is not prime.  LLR Res64: 97CC08A0789BBDF7  Time : 23.946 sec.
19507*2^150041-1 is not prime.  LLR Res64: 24FC98BD6D4B0842  Time : 23.961 sec.
27997*2^150041-1 is not prime.  LLR Res64: C733F8080D0F9364  Time : 24.034 sec.
25061*2^150046-1 is not prime.  LLR Res64: 162A871019FF1AA3  Time : 23.984 sec.
33403*2^150047-1 is not prime.  LLR Res64: 4977EFE75047DF9B  Time : 24.051 sec.
28723*2^150051-1 is not prime.  LLR Res64: BFC513592C85FC84  Time : 23.998 sec.
31453*2^150051-1 is not prime.  LLR Res64: 60A6482D50DC5071  Time : 23.994 sec.
33373*2^150051-1 is not prime.  LLR Res64: 21EE2B4C0DD58D40  Time : 24.437 sec.
17369*2^150052-1 is not prime.  LLR Res64: 8C28F529E2C372F1  Time : 24.077 sec.
28571*2^150054-1 is not prime.  LLR Res64: 0449F4189B368708  Time : 24.025 sec.
28109*2^150060-1 is not prime.  LLR Res64: 35749E50C926D3EB  Time : 24.036 sec.
30839*2^150060-1 is not prime.  LLR Res64: CC14A43845BFCF36  Time : 23.979 sec.
27029*2^150064-1 is not prime.  LLR Res64: 847B0C90F00CECCC  Time : 24.058 sec.
31627*2^150073-1 is not prime.  LLR Res64: 7B1427077048F57A  Time : 24.013 sec.
28723*2^150075-1 is not prime.  LLR Res64: 35355390BA8AB8E8  Time : 24.407 sec.
25747*2^150077-1 is not prime.  LLR Res64: 4797407ADC06BACC  Time : 23.990 sec.
22691*2^150078-1 is not prime.  LLR Res64: 6D7F114C201F82F0  Time : 24.081 sec.
18103*2^150079-1 is not prime.  LLR Res64: 8BCBCA79B6B80121  Time : 24.014 sec.
15997*2^150081-1 is not prime.  LLR Res64: DF419C57342F2FD1  Time : 23.989 sec.
25183*2^150087-1 is not prime.  LLR Res64: B0E9940CBAC74920  Time : 24.051 sec.
34169*2^150088-1 is not prime.  LLR Res64: 07F833C58DB2E1BB  Time : 24.077 sec.
24217*2^150093-1 is not prime.  LLR Res64: DEBD23DC447FE783  Time : 24.114 sec.
20651*2^150094-1 is not prime.  LLR Res64: AD04058999773E10  Time : 23.958 sec.
25061*2^150094-1 is not prime.  LLR Res64: 87C2C7EA63E55E76  Time : 24.461 sec.
20143*2^150095-1 is not prime.  LLR Res64: 0DD5F188C10A5B51  Time : 24.158 sec.
20939*2^150096-1 is not prime.  LLR Res64: 94E059EEA82420BA  Time : 24.387 sec.
17977*2^150097-1 is not prime.  LLR Res64: FFB5483937FD36C5  Time : 24.975 sec.
28781*2^150098-1 is not prime.  LLR Res64: 6B20152B6E804DF6  Time : 30.315 sec.
30337*2^150101-1 is not prime.  LLR Res64: 0AB0B6FC5FB9822D  Time : 24.376 sec.
33937*2^150101-1 is not prime.  LLR Res64: 23CDD49D5031A2CA  Time : 24.230 sec.
17411*2^150102-1 is not prime.  LLR Res64: 6F4443865990E168  Time : 24.465 sec.
15043*2^150103-1 is not prime.  LLR Res64: 81C4113C5D09D429  Time : 24.336 sec.
20533*2^150111-1 is not prime.  LLR Res64: 0156BA4E0E7594BC  Time : 24.081 sec.
32789*2^150112-1 is not prime.  LLR Res64: 2692678A9E0A3F0E  Time : 24.123 sec.
33937*2^150113-1 is not prime.  LLR Res64: 0582D0B27181B5DB  Time : 24.064 sec.
24217*2^150117-1 is not prime.  LLR Res64: CB57977EA156E5B7  Time : 24.098 sec.
32377*2^150117-1 is not prime.  LLR Res64: B48A8DD393F769FB  Time : 24.000 sec.
20591*2^150122-1 is not prime.  LLR Res64: 42ABCAF910A25DDD  Time : 24.020 sec.
33457*2^150125-1 is not prime.  LLR Res64: 9D4D46F15D694A08  Time : 24.023 sec.
18727*2^150129-1 is not prime.  LLR Res64: 0B2759AB3862148D  Time : 24.047 sec.
19507*2^150129-1 is not prime.  LLR Res64: 07B6A9B1E8475423  Time : 24.069 sec.
20939*2^150132-1 is not prime.  LLR Res64: C069F9BBDAA8486D  Time : 24.096 sec.
19121*2^150134-1 is not prime.  LLR Res64: 4AB141F0B83C8B33  Time : 24.044 sec.
22453*2^150135-1 is not prime.  LLR Res64: 2E829AEA917DCCB6  Time : 24.038 sec.
28723*2^150135-1 is not prime.  LLR Res64: BF6DB5874E18A57A  Time : 24.151 sec.
16543*2^150139-1 is not prime.  LLR Res64: 718B646711517A6B  Time : 24.111 sec.
27133*2^150139-1 is not prime.  LLR Res64: 2B592006940E9AFD  Time : 24.021 sec.
32377*2^150141-1 is not prime.  LLR Res64: 755402B177A338C0  Time : 24.146 sec.
20939*2^150144-1 is not prime.  LLR Res64: 341A8225AEA75953  Time : 24.125 sec.
34169*2^150144-1 is not prime.  LLR Res64: 4FE36E76C1AF7B07  Time : 24.000 sec.
30059*2^150148-1 is not prime.  LLR Res64: 260D734408CFEAF9  Time : 24.066 sec.
27133*2^150151-1 is not prime.  LLR Res64: 3F95AA00D028C219  Time : 24.138 sec.
33419*2^150152-1 is not prime.  LLR Res64: DA88ADBAE153C479  Time : 24.088 sec.
16573*2^150159-1 is not prime.  LLR Res64: DD6B38CC21EF38C8  Time : 24.243 sec.
25183*2^150159-1 is not prime.  LLR Res64: DA0F0DA0F0237142  Time : 24.092 sec.
16447*2^150161-1 is not prime.  LLR Res64: 9C3807319D8FA275  Time : 24.016 sec.
17411*2^150162-1 is not prime.  LLR Res64: D43E7909096D6910  Time : 23.946 sec.
31301*2^150162-1 is not prime.  LLR Res64: 2E301EF7A39F9019  Time : 23.974 sec.
