20017*2^200001-1 is not prime.  LLR Res64: F817DCBAD7AC722D  Time : 38.913 sec.
15373*2^200003-1 is not prime.  LLR Res64: 586AA78C8C2AC553  Time : 38.629 sec.
18209*2^200004-1 is not prime.  LLR Res64: 6DF237BD166263F0  Time : 38.628 sec.
24221*2^200006-1 is not prime.  LLR Res64: 05B8A39A47134EB3  Time : 38.595 sec.
27029*2^200008-1 is not prime.  LLR Res64: 0D2456BA3E46CFAF  Time : 38.591 sec.
28571*2^200010-1 is not prime.  LLR Res64: 525AB7019510BC77  Time : 38.620 sec.
20651*2^200014-1 is not prime.  LLR Res64: 2A626F2A896240CA  Time : 38.621 sec.
25061*2^200014-1 is not prime.  LLR Res64: 42D86DC2DB811729  Time : 38.632 sec.
27029*2^200016-1 is not prime.  LLR Res64: B5717251ECDF1654  Time : 38.602 sec.
33373*2^200019-1 is not prime.  LLR Res64: C2047B43354612B4  Time : 38.924 sec.
22691*2^200022-1 is not prime.  LLR Res64: 514994864D5CC71C  Time : 38.666 sec.
31109*2^200024-1 is not prime.  LLR Res64: 62C97B2D4080C98E  Time : 38.562 sec.
20939*2^200028-1 is not prime.  LLR Res64: FFD42FDA84F006F3  Time : 38.634 sec.
23437*2^200029-1 is not prime.  LLR Res64: 80624DA1F9C2D4CD  Time : 38.580 sec.
16573*2^200031-1 is not prime.  LLR Res64: 3032055D20A4A129  Time : 38.609 sec.
28723*2^200031-1 is not prime.  LLR Res64: 97FE2D5EEA393BC1  Time : 38.613 sec.
31109*2^200032-1 is not prime.  LLR Res64: 8AD3612D09D35BE6  Time : 38.636 sec.
31333*2^200035-1 is not prime.  LLR Res64: 4BA7D21505680F2E  Time : 38.645 sec.
33419*2^200036-1 is not prime.  LLR Res64: 833DD5E6588D2B3C  Time : 38.621 sec.
32383*2^200039-1 is not prime.  LLR Res64: BC3FC87DE4D67DF8  Time : 38.627 sec.
34169*2^200040-1 is not prime.  LLR Res64: D945C64232FA366E  Time : 38.659 sec.
24097*2^200041-1 is not prime.  LLR Res64: A568B9A091FF3B91  Time : 38.615 sec.
22691*2^200046-1 is not prime.  LLR Res64: 032E7BDE2D46EC43  Time : 38.617 sec.
27899*2^200048-1 is not prime.  LLR Res64: 7F97DD914ADD2ACF  Time : 38.763 sec.
34297*2^200049-1 is not prime.  LLR Res64: C4AB30DC464F02B6  Time : 38.631 sec.
17113*2^200051-1 is not prime.  LLR Res64: CE400F794A6CB993  Time : 38.606 sec.
30283*2^200051-1 is not prime.  LLR Res64: 61754B85D41216A2  Time : 38.594 sec.
23111*2^200058-1 is not prime.  LLR Res64: 94AF64A6148E312A  Time : 38.590 sec.
31301*2^200058-1 is not prime.  LLR Res64: 1B26EDDB6CFBFA3B  Time : 38.592 sec.
32377*2^200061-1 is not prime.  LLR Res64: 4A33057BCF32B41F  Time : 38.524 sec.
20143*2^200063-1 is not prime.  LLR Res64: 5042115F13152C2D  Time : 38.596 sec.
22649*2^200064-1 is not prime.  LLR Res64: B0AC9739D487A2C0  Time : 38.619 sec.
31357*2^200069-1 is not prime.  LLR Res64: C9EE2DF577DB05CE  Time : 38.577 sec.
32887*2^200069-1 is not prime.  LLR Res64: C87EC22B83DF8CB3  Time : 38.597 sec.
20381*2^200070-1 is not prime.  LLR Res64: 1DD52589211C9F36  Time : 38.638 sec.
15997*2^200073-1 is not prime.  LLR Res64: 1DA4674F2E108868  Time : 38.624 sec.
20017*2^200073-1 is not prime.  LLR Res64: 9A352F06613DDCE6  Time : 38.612 sec.
30283*2^200075-1 is not prime.  LLR Res64: 550244E30D5B8C6E  Time : 38.604 sec.
15037*2^200077-1 is not prime.  LLR Res64: 99691E6CE30AFD0C  Time : 38.676 sec.
31873*2^200079-1 is not prime.  LLR Res64: 8FB223D43E1CACC0  Time : 38.595 sec.
18727*2^200085-1 is not prime.  LLR Res64: 32F5DCE8C5FC825D  Time : 38.596 sec.
17977*2^200089-1 is not prime.  LLR Res64: FB737159AF00B2F3  Time : 38.643 sec.
23111*2^200094-1 is not prime.  LLR Res64: D1355973992FCDC8  Time : 38.604 sec.
15043*2^200095-1 is not prime.  LLR Res64: 0DC55792E3717D25  Time : 38.620 sec.
20939*2^200100-1 is not prime.  LLR Res64: 225ECB0A2328CC3C  Time : 38.651 sec.
30839*2^200100-1 is not prime.  LLR Res64: 79693BBF646158CF  Time : 38.588 sec.
28781*2^200102-1 is not prime.  LLR Res64: 82AB9A38A977642F  Time : 38.670 sec.
27913*2^200103-1 is not prime.  LLR Res64: DCD200685E955F9E  Time : 38.579 sec.
17369*2^200104-1 is not prime.  LLR Res64: 87308BD188B3B4F5  Time : 38.569 sec.
20381*2^200106-1 is not prime.  LLR Res64: 38359D88F5BF5ACB  Time : 38.639 sec.
28571*2^200106-1 is not prime.  LLR Res64: 065C174127F00DDD  Time : 38.653 sec.
15997*2^200109-1 is not prime.  LLR Res64: 68C461D25204F5AB  Time : 38.615 sec.
30283*2^200111-1 is not prime.  LLR Res64: E14BFA29EE8D7FB0  Time : 38.577 sec.
15037*2^200125-1 is not prime.  LLR Res64: F76CE21211E90C8D  Time : 38.631 sec.
33403*2^200127-1 is not prime.  LLR Res64: 82E75008A3CF56FE  Time : 38.593 sec.
32789*2^200140-1 is not prime.  LLR Res64: C0D22962FC5D1645  Time : 38.597 sec.
31109*2^200144-1 is not prime.  LLR Res64: 9697BECC91CF7801  Time : 38.616 sec.
21643*2^200147-1 is not prime.  LLR Res64: 7A56832D2ACF2AA3  Time : 38.605 sec.
16447*2^200153-1 is not prime.  LLR Res64: C5DA6776A9F22AF2  Time : 38.646 sec.
28571*2^200154-1 is not prime.  LLR Res64: 9EA42F74BAD36598  Time : 38.647 sec.
15373*2^200155-1 is not prime.  LLR Res64: 8474311DB5FAD503  Time : 38.668 sec.
27899*2^200156-1 is not prime.  LLR Res64: D10569E4EA14DEAA  Time : 38.628 sec.
27029*2^200160-1 is not prime.  LLR Res64: 0C116C9DFBF0E863  Time : 38.610 sec.
22927*2^200161-1 is not prime.  LLR Res64: C573E08CA5B3C8A7  Time : 38.623 sec.
24097*2^200161-1 is not prime.  LLR Res64: 0B6F6C306864E863  Time : 38.644 sec.
31357*2^200165-1 is not prime.  LLR Res64: E4E0FF6259918DC0  Time : 38.621 sec.
28177*2^200169-1 is not prime.  LLR Res64: 8F6286C0D845CB64  Time : 38.585 sec.
28109*2^200172-1 is not prime.  LLR Res64: 1C8BE158691D0672  Time : 38.649 sec.
31873*2^200175-1 is not prime.  LLR Res64: E1547EE14B88DEAE  Time : 38.672 sec.
29677*2^200181-1 is not prime.  LLR Res64: 6FF81D2E4712E54B  Time : 38.576 sec.
28177*2^200185-1 is not prime.  LLR Res64: 8684FA01285AC4AD  Time : 38.753 sec.
22537*2^200189-1 is not prime.  LLR Res64: 21EA6EF1988B869F  Time : 38.592 sec.
32887*2^200189-1 is not prime.  LLR Res64: AD1C5B9C3CBFBC45  Time : 38.643 sec.
15997*2^200193-1 is not prime.  LLR Res64: A96A39172DA2E1B9  Time : 38.629 sec.
31627*2^200197-1 is prime! (60270 decimal digits)  Time : 38.594 sec.
28781*2^200198-1 is not prime.  LLR Res64: D217BF3DD3DDC95F  Time : 38.711 sec.
34169*2^200200-1 is not prime.  LLR Res64: 095AA7A5CB2FDB18  Time : 38.650 sec.
24097*2^200201-1 is not prime.  LLR Res64: 4045AB34867181B6  Time : 38.591 sec.
20381*2^200202-1 is not prime.  LLR Res64: 0378A941A47CF9E8  Time : 38.641 sec.
24217*2^200205-1 is not prime.  LLR Res64: 5A72143D2D073C41  Time : 38.626 sec.
15373*2^200207-1 is not prime.  LLR Res64: C717BA7A76942AE1  Time : 38.642 sec.
27029*2^200208-1 is not prime.  LLR Res64: BBE36658B5A13D33  Time : 38.641 sec.
33373*2^200211-1 is not prime.  LLR Res64: D19E63612E0F6868  Time : 38.686 sec.
33457*2^200213-1 is not prime.  LLR Res64: 7ADF550FE03A3B45  Time : 38.680 sec.
18103*2^200215-1 is not prime.  LLR Res64: 494C5D80D61561BE  Time : 38.766 sec.
32639*2^200216-1 is not prime.  LLR Res64: 9520E623D549B4E4  Time : 38.747 sec.
34169*2^200224-1 is not prime.  LLR Res64: 8F0EE7D1E72CF109  Time : 38.679 sec.
24217*2^200229-1 is not prime.  LLR Res64: 359AD7DCA8C08B59  Time : 38.749 sec.
17467*2^200233-1 is not prime.  LLR Res64: 0C720BE9A3DFC33E  Time : 38.702 sec.
22927*2^200233-1 is not prime.  LLR Res64: BC0E32E803897CB9  Time : 38.721 sec.
18607*2^200237-1 is not prime.  LLR Res64: 12435923E9052EB3  Time : 38.724 sec.
31873*2^200239-1 is not prime.  LLR Res64: 7EC53AFAF8492FA3  Time : 38.688 sec.
18869*2^200240-1 is not prime.  LLR Res64: 37D7ADA53DEA1298  Time : 38.774 sec.
24133*2^200243-1 is not prime.  LLR Res64: D8910378C9F1336D  Time : 38.773 sec.
32887*2^200245-1 is not prime.  LLR Res64: 8F2DCD5C368B79EB  Time : 38.735 sec.
19121*2^200246-1 is not prime.  LLR Res64: 8B5109BB3B2ACB62  Time : 38.691 sec.
24599*2^200248-1 is not prime.  LLR Res64: ADAEDC2EE46AD533  Time : 38.927 sec.
30059*2^200248-1 is not prime.  LLR Res64: 6DAD01D056CCD54B  Time : 38.783 sec.
19507*2^200249-1 is not prime.  LLR Res64: 23BA6492FB5767DA  Time : 38.770 sec.
32377*2^200253-1 is not prime.  LLR Res64: 66D8020EEB5880BC  Time : 38.725 sec.
29983*2^200263-1 is not prime.  LLR Res64: 2A56CA4F1F2B9BF2  Time : 38.682 sec.
18727*2^200265-1 is not prime.  LLR Res64: BBCA32D5E5DBE686  Time : 38.663 sec.
30283*2^200267-1 is not prime.  LLR Res64: F7B8D69E1026950F  Time : 38.687 sec.
16447*2^200273-1 is not prime.  LLR Res64: 01ABDB803E77DFD6  Time : 38.667 sec.
23111*2^200274-1 is not prime.  LLR Res64: 9A54A9C752CDFBC4  Time : 38.739 sec.
31333*2^200275-1 is not prime.  LLR Res64: 69CF64FA64240ABF  Time : 38.684 sec.
16573*2^200279-1 is not prime.  LLR Res64: A23410013996B7A1  Time : 38.808 sec.
20939*2^200280-1 is not prime.  LLR Res64: 84398218D91C9B52  Time : 38.798 sec.
17467*2^200281-1 is not prime.  LLR Res64: 40036B3AECBCE2F8  Time : 38.882 sec.
31627*2^200281-1 is not prime.  LLR Res64: 429D20738B3F639B  Time : 38.817 sec.
18607*2^200285-1 is not prime.  LLR Res64: B3969A5D53C34A41  Time : 38.795 sec.
19121*2^200286-1 is not prime.  LLR Res64: 89D049FDAAB5CE0F  Time : 38.738 sec.
31109*2^200288-1 is not prime.  LLR Res64: D8E3E6092E38A4F3  Time : 38.876 sec.
33419*2^200288-1 is not prime.  LLR Res64: 81392858DFFC12BE  Time : 38.821 sec.
18607*2^200293-1 is not prime.  LLR Res64: 76CE7E9CB5E404AB  Time : 38.788 sec.
22927*2^200293-1 is not prime.  LLR Res64: 636041E73EE27CFB  Time : 38.817 sec.
