16447*2^250001-1 is not prime.  LLR Res64: BE4CC95E2FBB7CB2  Time : 61.559 sec.
24097*2^250001-1 is not prime.  LLR Res64: 1B75FBB4A43950D2  Time : 62.575 sec.
20381*2^250002-1 is not prime.  LLR Res64: D2644B408743263C  Time : 62.386 sec.
17113*2^250003-1 is not prime.  LLR Res64: C8489AD5839AADC6  Time : 63.000 sec.
28723*2^250011-1 is not prime.  LLR Res64: 6BB35179FFCD1DFF  Time : 62.257 sec.
18727*2^250017-1 is not prime.  LLR Res64: E6071B4C893227C2  Time : 62.402 sec.
18209*2^250020-1 is not prime.  LLR Res64: ABF9A1ADEF1E4548  Time : 62.522 sec.
28109*2^250020-1 is not prime.  LLR Res64: 2FE82AA993B143F5  Time : 61.420 sec.
28723*2^250023-1 is not prime.  LLR Res64: BA67B8D1F3BE311E  Time : 61.374 sec.
31453*2^250023-1 is not prime.  LLR Res64: AB147F442CDC51F6  Time : 61.278 sec.
17021*2^250026-1 is not prime.  LLR Res64: E9159F1C77950A76  Time : 61.453 sec.
16543*2^250027-1 is not prime.  LLR Res64: 08BBCDC8204C1041  Time : 61.535 sec.
24523*2^250027-1 is not prime.  LLR Res64: 63724C209BE86315  Time : 61.512 sec.
18103*2^250031-1 is not prime.  LLR Res64: 4B62A6C7CBB200FF  Time : 61.523 sec.
27913*2^250035-1 is not prime.  LLR Res64: 83797A3AA2C95BCA  Time : 61.506 sec.
27997*2^250037-1 is not prime.  LLR Res64: D185B1C630889388  Time : 61.350 sec.
18103*2^250039-1 is not prime.  LLR Res64: EF67F5A24632C64D  Time : 61.305 sec.
29677*2^250041-1 is not prime.  LLR Res64: 685AEA39AA61BC75  Time : 61.388 sec.
24599*2^250048-1 is not prime.  LLR Res64: 2A803D4E8B37A6C9  Time : 61.279 sec.
30059*2^250048-1 is not prime.  LLR Res64: 324A607629A531EC  Time : 61.473 sec.
24097*2^250049-1 is not prime.  LLR Res64: 42FAEBCFBCF2DF4F  Time : 61.345 sec.
31301*2^250050-1 is not prime.  LLR Res64: 930A3208DA9E4B1A  Time : 61.494 sec.
27133*2^250051-1 is not prime.  LLR Res64: FE8636D62374EF4B  Time : 61.264 sec.
32377*2^250053-1 is not prime.  LLR Res64: E778DAAEF007C86A  Time : 61.497 sec.
23711*2^250054-1 is not prime.  LLR Res64: E32317057D9B956F  Time : 61.396 sec.
25061*2^250054-1 is not prime.  LLR Res64: 1632184DD9F50B2B  Time : 61.280 sec.
32639*2^250056-1 is not prime.  LLR Res64: 799D507CFBDEA79D  Time : 61.624 sec.
24097*2^250057-1 is not prime.  LLR Res64: 0A6B52486D4DFBFF  Time : 61.246 sec.
28781*2^250058-1 is not prime.  LLR Res64: AA2FED67BA1EC7A2  Time : 61.308 sec.
34183*2^250059-1 is not prime.  LLR Res64: 9ABA51470F6A05D1  Time : 61.316 sec.
22691*2^250062-1 is not prime.  LLR Res64: 64C31CB8B9CB165A  Time : 61.267 sec.
24523*2^250063-1 is not prime.  LLR Res64: 5E27A28552057BF8  Time : 61.510 sec.
32639*2^250064-1 is not prime.  LLR Res64: CABC6B603E19B04E  Time : 61.355 sec.
21643*2^250067-1 is not prime.  LLR Res64: 8DA50D4435668DB0  Time : 61.501 sec.
22649*2^250068-1 is not prime.  LLR Res64: 08A268B7B4717083  Time : 61.435 sec.
30839*2^250068-1 is not prime.  LLR Res64: 03C72DFFEFDD00F9  Time : 61.369 sec.
20143*2^250071-1 is not prime.  LLR Res64: 48EA2ACD56B57C4E  Time : 61.538 sec.
20399*2^250072-1 is not prime.  LLR Res64: D5075C671C9AB951  Time : 61.381 sec.
28571*2^250074-1 is not prime.  LLR Res64: C181CEC3B1CCE8AB  Time : 61.571 sec.
21643*2^250075-1 is not prime.  LLR Res64: 46D8B69C717AED24  Time : 61.395 sec.
15997*2^250077-1 is not prime.  LLR Res64: B38EA752604B52C6  Time : 61.423 sec.
24217*2^250077-1 is not prime.  LLR Res64: 70F6E5F7E9D3AE85  Time : 61.678 sec.
32377*2^250077-1 is not prime.  LLR Res64: FAE7E30AA05938BA  Time : 61.491 sec.
18209*2^250080-1 is not prime.  LLR Res64: C1A5CDDEF029387F  Time : 61.317 sec.
22649*2^250080-1 is not prime.  LLR Res64: ADACF2E717C826FB  Time : 61.322 sec.
17021*2^250082-1 is not prime.  LLR Res64: 6F3C9E43FCDBAA4E  Time : 61.334 sec.
34297*2^250097-1 is not prime.  LLR Res64: 4C9F72EAF79A4175  Time : 61.289 sec.
23111*2^250098-1 is not prime.  LLR Res64: 22F43B7464C4CA1C  Time : 61.344 sec.
17113*2^250099-1 is not prime.  LLR Res64: 4F774C886C881C9F  Time : 61.361 sec.
23173*2^250099-1 is not prime.  LLR Res64: 6C56366EDB69D06E  Time : 61.277 sec.
32377*2^250101-1 is not prime.  LLR Res64: 521C6073B3014F2E  Time : 61.366 sec.
20591*2^250106-1 is not prime.  LLR Res64: B4450400DF357E4D  Time : 61.380 sec.
19117*2^250109-1 is not prime.  LLR Res64: 626E7313CF7CA5CD  Time : 61.409 sec.
17113*2^250111-1 is not prime.  LLR Res64: 90A25A98D6244C92  Time : 61.344 sec.
27029*2^250120-1 is not prime.  LLR Res64: 29AF548E80A9F90E  Time : 61.300 sec.
24217*2^250125-1 is not prime.  LLR Res64: 918FD943F03D67AF  Time : 61.410 sec.
23711*2^250126-1 is not prime.  LLR Res64: 40F6F503BA94B9C0  Time : 61.371 sec.
17977*2^250129-1 is not prime.  LLR Res64: 49F69B6F220BCB04  Time : 61.266 sec.
24097*2^250129-1 is not prime.  LLR Res64: 8AF60A38B65B365C  Time : 61.457 sec.
17021*2^250130-1 is not prime.  LLR Res64: 7FFBBE731F48769C  Time : 61.446 sec.
24161*2^250130-1 is not prime.  LLR Res64: 9AA3725FCA456555  Time : 61.270 sec.
18869*2^250136-1 is not prime.  LLR Res64: F5AA0C73B3B04571  Time : 61.327 sec.
16447*2^250137-1 is not prime.  LLR Res64: 085A4305FE3C2A33  Time : 61.332 sec.
28177*2^250137-1 is not prime.  LLR Res64: 0A82D0778E695952  Time : 61.401 sec.
22649*2^250140-1 is not prime.  LLR Res64: 363C39B8C0FDC356  Time : 61.467 sec.
22537*2^250145-1 is not prime.  LLR Res64: 852AA45F614D8B6A  Time : 61.292 sec.
17411*2^250146-1 is not prime.  LLR Res64: 5DB516E4F7CF914B  Time : 61.304 sec.
20533*2^250155-1 is not prime.  LLR Res64: 86565ADCBE96C319  Time : 61.769 sec.
18607*2^250157-1 is not prime.  LLR Res64: ACB0DBB9E0889DEC  Time : 61.445 sec.
25747*2^250157-1 is not prime.  LLR Res64: 21E520092B8A8DCB  Time : 61.500 sec.
32383*2^250159-1 is not prime.  LLR Res64: 8CF8509FACAF69B1  Time : 61.444 sec.
20017*2^250161-1 is not prime.  LLR Res64: FC86F4105590ED96  Time : 61.463 sec.
22927*2^250165-1 is not prime.  LLR Res64: 4CBEEE92D3DE13B9  Time : 61.466 sec.
25183*2^250167-1 is not prime.  LLR Res64: A911C33EC1EEFD56  Time : 61.297 sec.
34183*2^250167-1 is not prime.  LLR Res64: 512E80F5D49ADB55  Time : 61.482 sec.
24523*2^250171-1 is not prime.  LLR Res64: F3BF18F5290CC072  Time : 61.286 sec.
20651*2^250174-1 is not prime.  LLR Res64: 826B781A8BC46938  Time : 61.280 sec.
25061*2^250174-1 is not prime.  LLR Res64: 6CAD2E0E9B6D0944  Time : 61.336 sec.
23437*2^250177-1 is not prime.  LLR Res64: 0655F712037115AD  Time : 61.431 sec.
28177*2^250177-1 is not prime.  LLR Res64: F5E4A555D540EF96  Time : 61.340 sec.
32887*2^250181-1 is not prime.  LLR Res64: D2E63B48CC431D29  Time : 61.223 sec.
33937*2^250181-1 is not prime.  LLR Res64: DC0148FEDE919EE6  Time : 61.305 sec.
32383*2^250183-1 is not prime.  LLR Res64: 3F6B5CECCDAC6F2C  Time : 61.325 sec.
32639*2^250184-1 is not prime.  LLR Res64: D0AB17576780FDC9  Time : 61.491 sec.
19507*2^250185-1 is not prime.  LLR Res64: 67DF081901D1B992  Time : 61.426 sec.
