29677*2^275001-1 is not prime.  LLR Res64: EA6597FF060EDF01  Time : 83.728 sec.
22927*2^275005-1 is not prime.  LLR Res64: C8E6C9D168B78099  Time : 71.400 sec.
19121*2^275006-1 is not prime.  LLR Res64: B1DDBD8446BFBBA7  Time : 68.544 sec.
24599*2^275008-1 is not prime.  LLR Res64: FFC5395A61B6DE4C  Time : 83.940 sec.
27029*2^275008-1 is not prime.  LLR Res64: 6276D39331401E2E  Time : 84.360 sec.
27133*2^275011-1 is not prime.  LLR Res64: C9980EB32600C751  Time : 83.991 sec.
19117*2^275013-1 is not prime.  LLR Res64: 1F81727111352887  Time : 68.302 sec.
20651*2^275014-1 is not prime.  LLR Res64: 1EB98C51FD9BE45D  Time : 69.723 sec.
20591*2^275018-1 is not prime.  LLR Res64: 2BB62A98E9086668  Time : 69.616 sec.
16543*2^275019-1 is not prime.  LLR Res64: 74DFBE9163FE9034  Time : 68.144 sec.
32887*2^275021-1 is not prime.  LLR Res64: BD84F9E6F2472B34  Time : 83.732 sec.
28571*2^275022-1 is not prime.  LLR Res64: 54ACB0EEEDFFF239  Time : 83.764 sec.
24523*2^275023-1 is not prime.  LLR Res64: 9AD758D90FAF4469  Time : 84.191 sec.
32639*2^275024-1 is not prime.  LLR Res64: FE1E0CF9BF2E34AD  Time : 83.715 sec.
18607*2^275029-1 is not prime.  LLR Res64: 807BEEB4D34CA839  Time : 67.572 sec.
34297*2^275033-1 is not prime.  LLR Res64: 9BFD11A7B788E454  Time : 83.585 sec.
31333*2^275035-1 is not prime.  LLR Res64: D93F98B8678E1038  Time : 83.669 sec.
24217*2^275037-1 is not prime.  LLR Res64: 6A252987431B679D  Time : 69.232 sec.
24133*2^275039-1 is not prime.  LLR Res64: 672DB7E1B90549F4  Time : 69.380 sec.
28109*2^275040-1 is not prime.  LLR Res64: 24392828A3E3E025  Time : 83.716 sec.
24097*2^275041-1 is not prime.  LLR Res64: 14F1CF1CEF7FAE78  Time : 69.165 sec.
16543*2^275043-1 is not prime.  LLR Res64: A6C6999968F89A82  Time : 68.070 sec.
28723*2^275043-1 is not prime.  LLR Res64: FA5B20EEF781BA68  Time : 83.973 sec.
17411*2^275046-1 is not prime.  LLR Res64: 0000CFC68DBC271F  Time : 68.080 sec.
21793*2^275047-1 is not prime.  LLR Res64: 139D81A7B8F91CC5  Time : 69.885 sec.
32639*2^275048-1 is not prime.  LLR Res64: C169A1F7F51BB3C2  Time : 84.185 sec.
19507*2^275049-1 is not prime.  LLR Res64: C709B57615C0C157  Time : 67.744 sec.
20017*2^275049-1 is not prime.  LLR Res64: 8FC9C9F1ECF05353  Time : 67.760 sec.
20939*2^275052-1 is not prime.  LLR Res64: FC8AA9E80D72F165  Time : 69.612 sec.
31627*2^275053-1 is not prime.  LLR Res64: 9D36FB0AF74BF96A  Time : 83.801 sec.
27913*2^275055-1 is not prime.  LLR Res64: 99F769CD94E36206  Time : 83.658 sec.
28723*2^275055-1 is not prime.  LLR Res64: 3C3DBDBAD367787C  Time : 83.879 sec.
33937*2^275057-1 is not prime.  LLR Res64: D0F1598E456DEE9A  Time : 83.720 sec.
17411*2^275058-1 is not prime.  LLR Res64: 2EF73CFE848C102B  Time : 67.594 sec.
16543*2^275059-1 is not prime.  LLR Res64: A87CCCC45081DF38  Time : 67.563 sec.
21643*2^275059-1 is not prime.  LLR Res64: 1911C064289F15F2  Time : 69.344 sec.
23173*2^275059-1 is not prime.  LLR Res64: DAC804CB11EC8F3D  Time : 69.295 sec.
27133*2^275059-1 is not prime.  LLR Res64: 9CF79F09841FD679  Time : 83.303 sec.
27899*2^275060-1 is not prime.  LLR Res64: 29CB1622F7E6BFDF  Time : 83.409 sec.
16543*2^275067-1 is not prime.  LLR Res64: A700296B3354A2C5  Time : 67.454 sec.
33373*2^275067-1 is not prime.  LLR Res64: 319BF8518C8E1C43  Time : 83.325 sec.
24599*2^275068-1 is not prime.  LLR Res64: 9B440FE73AD3E956  Time : 83.468 sec.
30059*2^275068-1 is not prime.  LLR Res64: 7C7C1B984FF58BFD  Time : 83.691 sec.
28571*2^275070-1 is not prime.  LLR Res64: 5CB6D09565DB1D04  Time : 84.110 sec.
31109*2^275072-1 is not prime.  LLR Res64: C8A089F091897EBD  Time : 83.754 sec.
23173*2^275075-1 is not prime.  LLR Res64: 30584F5682B3419A  Time : 69.597 sec.
24221*2^275078-1 is not prime.  LLR Res64: 516200D2722B2603  Time : 69.764 sec.
16573*2^275079-1 is not prime.  LLR Res64: C9D1C1EF51C43FB2  Time : 68.147 sec.
24599*2^275080-1 is not prime.  LLR Res64: B53D46EDA0CD978D  Time : 83.771 sec.
20017*2^275081-1 is not prime.  LLR Res64: 49208AEF4155E172  Time : 68.035 sec.
17113*2^275083-1 is not prime.  LLR Res64: 78B30CB5AD1CA935  Time : 67.953 sec.
24523*2^275083-1 is not prime.  LLR Res64: 00A0098F9A3FCE47  Time : 83.528 sec.
24133*2^275087-1 is not prime.  LLR Res64: 7AA0B428BA0F496C  Time : 69.344 sec.
22649*2^275088-1 is not prime.  LLR Res64: EB11EA1B36E7A840  Time : 69.793 sec.
32639*2^275088-1 is not prime.  LLR Res64: CEC8A1B4EEAB9F65  Time : 83.970 sec.
17467*2^275089-1 is not prime.  LLR Res64: 4F1225950B2E0909  Time : 67.860 sec.
20533*2^275091-1 is not prime.  LLR Res64: 7587EDD6446173FE  Time : 69.424 sec.
28723*2^275091-1 is not prime.  LLR Res64: 888EF5B6B80D0810  Time : 83.778 sec.
19117*2^275093-1 is not prime.  LLR Res64: 8E0D53EE6B8801D5  Time : 67.977 sec.
22537*2^275093-1 is not prime.  LLR Res64: 9C9CAEC36EFF2DA4  Time : 69.294 sec.
30337*2^275093-1 is not prime.  LLR Res64: 911F4C50A214FA40  Time : 83.332 sec.
15043*2^275095-1 is not prime.  LLR Res64: C7C55B9FDFC4CB70  Time : 67.530 sec.
33457*2^275105-1 is not prime.  LLR Res64: 4E500E95F8A2331C  Time : 83.320 sec.
31301*2^275106-1 is not prime.  LLR Res64: BF9CE83124667D3C  Time : 84.119 sec.
27899*2^275108-1 is not prime.  LLR Res64: 1787A5D7BE232F0C  Time : 83.998 sec.
25061*2^275110-1 is not prime.  LLR Res64: 0134BE749CDCE0FD  Time : 83.748 sec.
20591*2^275114-1 is not prime.  LLR Res64: 1D8D050E5A9DD64C  Time : 69.479 sec.
25183*2^275115-1 is not prime.  LLR Res64: 48AB3D9F58E4F697  Time : 83.490 sec.
30337*2^275117-1 is not prime.  LLR Res64: DC3F202F7C74BB9F  Time : 83.554 sec.
31873*2^275119-1 is not prime.  LLR Res64: 6B5BCF5926DFFCB8  Time : 83.503 sec.
20143*2^275127-1 is not prime.  LLR Res64: A3D11313AD5EE0A6  Time : 67.587 sec.
34169*2^275128-1 is not prime.  LLR Res64: 49A6768094816CEE  Time : 84.265 sec.
24217*2^275133-1 is not prime.  LLR Res64: 99E09494B8323567  Time : 69.517 sec.
32377*2^275133-1 is not prime.  LLR Res64: B45914F2C5533C70  Time : 83.334 sec.
16573*2^275135-1 is not prime.  LLR Res64: E4339543083B3E90  Time : 67.477 sec.
33373*2^275139-1 is not prime.  LLR Res64: 144432436AB0BCC0  Time : 83.431 sec.
25559*2^275140-1 is not prime.  LLR Res64: E0894E055CBBA1EF  Time : 83.445 sec.
22537*2^275141-1 is not prime.  LLR Res64: 9BF921BB81808F2D  Time : 69.256 sec.
27997*2^275141-1 is not prime.  LLR Res64: AFDC42FA7B857F28  Time : 83.323 sec.
30337*2^275141-1 is not prime.  LLR Res64: E9298D0C409F614F  Time : 83.354 sec.
32887*2^275141-1 is not prime.  LLR Res64: 69D0E2DD3AE5FF24  Time : 83.984 sec.
29983*2^275143-1 is not prime.  LLR Res64: 77DBB1A0EAAD6B7B  Time : 83.957 sec.
18869*2^275144-1 is not prime.  LLR Res64: 7FF951D7F02D8171  Time : 68.043 sec.
24133*2^275147-1 is not prime.  LLR Res64: 7DDA4410C329FB51  Time : 70.521 sec.
30839*2^275148-1 is not prime.  LLR Res64: 906F06DE74E5ACE7  Time : 84.154 sec.
18607*2^275149-1 is not prime.  LLR Res64: 33D6F2AEB6A3CBA8  Time : 67.927 sec.
16573*2^275151-1 is not prime.  LLR Res64: 40899B762FE2549F  Time : 67.472 sec.
31333*2^275155-1 is not prime.  LLR Res64: EA2A00EA34568D4B  Time : 83.258 sec.
31357*2^275157-1 is not prime.  LLR Res64: C7FC8978EB445A48  Time : 84.561 sec.
18103*2^275159-1 is not prime.  LLR Res64: 629726A747E15C34  Time : 68.169 sec.
22649*2^275160-1 is not prime.  LLR Res64: 70D4724C4E9A618B  Time : 69.696 sec.
32639*2^275160-1 is not prime.  LLR Res64: 138E5D7EC20F3A19  Time : 83.382 sec.
20591*2^275162-1 is not prime.  LLR Res64: 3961EC2540DE88E5  Time : 69.174 sec.
22453*2^275163-1 is not prime.  LLR Res64: 27A22579BA5FF2F6  Time : 69.160 sec.
28571*2^275166-1 is not prime.  LLR Res64: 0395C628E0C8143D  Time : 83.365 sec.
24523*2^275167-1 is not prime.  LLR Res64: BF1EC37E3122A71C  Time : 83.409 sec.
32383*2^275167-1 is not prime.  LLR Res64: E094E11420E1F659  Time : 83.197 sec.
20017*2^275169-1 is not prime.  LLR Res64: 1F309B57383AAEE0  Time : 67.407 sec.
22927*2^275173-1 is not prime.  LLR Res64: C17EF4CCE28C7307  Time : 69.090 sec.
20143*2^275175-1 is not prime.  LLR Res64: D90BA437F408D83B  Time : 67.447 sec.
31453*2^275175-1 is not prime.  LLR Res64: D144B771F4D2C43B  Time : 83.228 sec.
31301*2^275178-1 is not prime.  LLR Res64: 324E4E6EEC67119E  Time : 83.357 sec.
24133*2^275183-1 is not prime.  LLR Res64: 2E9F130591FB75A2  Time : 69.228 sec.
32383*2^275183-1 is not prime.  LLR Res64: 04BB4F4DB34CF219  Time : 83.393 sec.
18209*2^275184-1 is not prime.  LLR Res64: 5EE4918E8172E529  Time : 67.470 sec.
25559*2^275188-1 is not prime.  LLR Res64: AA8367CA546CBE95  Time : 83.519 sec.
32887*2^275189-1 is not prime.  LLR Res64: 0863F122B5027D92  Time : 83.356 sec.
21793*2^275191-1 is not prime.  LLR Res64: D0FA6AC59A954066  Time : 69.150 sec.
29983*2^275191-1 is not prime.  LLR Res64: F345D5DEA25FAF9B  Time : 83.485 sec.
18869*2^275192-1 is not prime.  LLR Res64: A188A8EA5CF39C0E  Time : 67.577 sec.
31109*2^275192-1 is not prime.  LLR Res64: 3ACC298CCF8DB6FE  Time : 83.358 sec.
20017*2^275193-1 is not prime.  LLR Res64: AACA73161AA8E33E  Time : 67.455 sec.
28109*2^275196-1 is not prime.  LLR Res64: F06513D7B4C20221  Time : 83.445 sec.
27913*2^275199-1 is not prime.  LLR Res64: E1B7572A54288463  Time : 83.350 sec.
16447*2^275201-1 is not prime.  LLR Res64: 7962781E7A85717D  Time : 67.493 sec.
20591*2^275210-1 is not prime.  LLR Res64: 65CD349F68AE32A3  Time : 69.515 sec.
28723*2^275211-1 is not prime.  LLR Res64: 5E80762FB6C5A515  Time : 83.543 sec.
18607*2^275213-1 is not prime.  LLR Res64: 84631182CC4DE446  Time : 67.624 sec.
18727*2^275217-1 is not prime.  LLR Res64: F3A35D5CF91AF87B  Time : 67.733 sec.
30283*2^275219-1 is not prime.  LLR Res64: AAA224B637791D45  Time : 83.716 sec.
28109*2^275220-1 is not prime.  LLR Res64: 93022F62DEE20394  Time : 83.406 sec.
