17295*2^10001-1 is not prime.  LLR Res64: 4FCB899DB7148EED  Time : 187.459 ms.
22095*2^10001-1 is not prime.  LLR Res64: 1CFABF0653559955  Time : 140.320 ms.
23805*2^10001-1 is not prime.  LLR Res64: B3B285D0F6AEA2F0  Time : 142.633 ms.
18975*2^10002-1 is not prime.  LLR Res64: CA94180789FF147C  Time : 143.828 ms.
20145*2^10002-1 is not prime.  LLR Res64: B75CF6335EF32F4F  Time : 143.850 ms.
21825*2^10002-1 is not prime.  LLR Res64: 0B4850C8FA8F42D3  Time : 146.729 ms.
18525*2^10003-1 is not prime.  LLR Res64: B9EDC72A545F7741  Time : 146.761 ms.
20145*2^10003-1 is not prime.  LLR Res64: 63A4A0202EBE6FBF  Time : 137.426 ms.
22701*2^10003-1 is not prime.  LLR Res64: DDFA5309197C6747  Time : 156.557 ms.
28215*2^10003-1 is not prime.  LLR Res64: 6D2D1FBAB5B5EAE3  Time : 149.960 ms.
18975*2^10004-1 is not prime.  LLR Res64: 8F34F2EDB5BCBD96  Time : 140.039 ms.
23295*2^10004-1 is not prime.  LLR Res64: 54E002AAEC3977A1  Time : 139.289 ms.
28635*2^10004-1 is not prime.  LLR Res64: 312A6172433ADAC1  Time : 139.370 ms.
16887*2^10005-1 is not prime.  LLR Res64: D84B5DACC804C7D4  Time : 142.798 ms.
17295*2^10005-1 is not prime.  LLR Res64: 761071FD5DC043E6  Time : 136.484 ms.
23985*2^10005-1 is not prime.  LLR Res64: D46C8C57EA0D4F46  Time : 140.005 ms.
25077*2^10005-1 is not prime.  LLR Res64: 4DD4A059B289E668  Time : 140.022 ms.
29445*2^10005-1 is not prime.  LLR Res64: 219943BE01D43D39  Time : 139.881 ms.
17295*2^10006-1 is not prime.  LLR Res64: C75F3C0C343A2F46  Time : 156.193 ms.
18975*2^10006-1 is not prime.  LLR Res64: 06B8E90CC34A1058  Time : 155.764 ms.
21525*2^10006-1 is not prime.  LLR Res64: B92FF6F2A4A14D53  Time : 156.142 ms.
22701*2^10006-1 is not prime.  LLR Res64: 60728B4FC74DE9A6  Time : 141.683 ms.
17295*2^10007-1 is not prime.  LLR Res64: 250CB385B8519E4B  Time : 147.706 ms.
20625*2^10007-1 is not prime.  LLR Res64: 3B7F5FF47818868D  Time : 139.675 ms.
23985*2^10007-1 is not prime.  LLR Res64: 1ED1853F9A6DB791  Time : 139.685 ms.
29025*2^10007-1 is not prime.  LLR Res64: 908F1F3E71A0ACC0  Time : 140.029 ms.
18525*2^10008-1 is not prime.  LLR Res64: A510A4EF4CCDD9B4  Time : 139.595 ms.
20625*2^10008-1 is not prime.  LLR Res64: 1B44BF0180DCF8BD  Time : 139.489 ms.
25077*2^10008-1 is not prime.  LLR Res64: 52127370271DA418  Time : 142.012 ms.
25905*2^10008-1 is not prime.  LLR Res64: 73171253D001614B  Time : 153.987 ms.
22701*2^10009-1 is not prime.  LLR Res64: C61DD8016BEC0136  Time : 148.450 ms.
23295*2^10009-1 is not prime.  LLR Res64: B86DC88215D26EBA  Time : 122.305 ms.
23805*2^10009-1 is not prime.  LLR Res64: 17473C017ED8E206  Time : 123.357 ms.
25905*2^10009-1 is not prime.  LLR Res64: 655AF7917C5FA2B1  Time : 141.386 ms.
19635*2^10010-1 is not prime.  LLR Res64: 6584A0ED429F6B54  Time : 139.693 ms.
