17295*2^20001-1 is not prime.  LLR Res64: CD7484F899D0D2C1  Time : 419.648 ms.
21825*2^20001-1 is not prime.  LLR Res64: D8A8CCB90CFA3C2F  Time : 387.936 ms.
22701*2^20001-1 is not prime.  LLR Res64: FD672FB2BBED8536  Time : 386.521 ms.
29445*2^20001-1 is not prime.  LLR Res64: 3F4DB8AA5357E4B5  Time : 381.480 ms.
23985*2^20002-1 is not prime.  LLR Res64: D66F83067BFE5685  Time : 381.371 ms.
21285*2^20003-1 is not prime.  LLR Res64: 12363E337BB113EE  Time : 368.443 ms.
23295*2^20003-1 is not prime.  LLR Res64: 61CEBD3CEC71A873  Time : 363.627 ms.
28605*2^20003-1 is not prime.  LLR Res64: C1170A2C20B296F1  Time : 380.536 ms.
16887*2^20004-1 is not prime.  LLR Res64: F4438652A010FD9C  Time : 388.281 ms.
17295*2^20005-1 is not prime.  LLR Res64: 138F9BEF3010195D  Time : 387.300 ms.
21885*2^20005-1 is not prime.  LLR Res64: 491EBA9088CF0FC6  Time : 385.675 ms.
23805*2^20005-1 is not prime.  LLR Res64: F913120FAE6A7590  Time : 379.987 ms.
29925*2^20005-1 is not prime.  LLR Res64: DA248185B9D61FD7  Time : 378.944 ms.
16485*2^20006-1 is not prime.  LLR Res64: A43C30B42EB45B55  Time : 380.208 ms.
22365*2^20006-1 is not prime.  LLR Res64: 4B3B42A0DC060A1A  Time : 386.949 ms.
25905*2^20006-1 is not prime.  LLR Res64: 5F72572EF6508EA9  Time : 389.012 ms.
21285*2^20007-1 is not prime.  LLR Res64: 6EC5D9D3EA433874  Time : 379.018 ms.
22095*2^20007-1 is not prime.  LLR Res64: 5CBCB8D8C72C6418  Time : 389.291 ms.
20625*2^20008-1 is not prime.  LLR Res64: 85D3EEF4546CBFF5  Time : 386.232 ms.
23805*2^20008-1 is not prime.  LLR Res64: C2B1840416BE27B9  Time : 380.474 ms.
23985*2^20008-1 is not prime.  LLR Res64: 831DB3D33B935BAE  Time : 389.409 ms.
17295*2^20009-1 is not prime.  LLR Res64: FC332532B8114609  Time : 385.307 ms.
23295*2^20009-1 is not prime.  LLR Res64: 13314E38C1CB2287  Time : 390.667 ms.
23985*2^20009-1 is not prime.  LLR Res64: DF647FA4B7BDE8BA  Time : 384.445 ms.
28605*2^20009-1 is not prime.  LLR Res64: 2544127D78634A94  Time : 380.080 ms.
21525*2^20010-1 is not prime.  LLR Res64: C26933CC91D37E9E  Time : 391.055 ms.
27615*2^20010-1 is not prime.  LLR Res64: 16755B6858160C5A  Time : 396.402 ms.
22785*2^20011-1 is not prime.  LLR Res64: 9C622CEA70DF425D  Time : 398.420 ms.
23295*2^20011-1 is not prime.  LLR Res64: 73811127E57FB7C1  Time : 394.268 ms.
27615*2^20011-1 is not prime.  LLR Res64: 4F9CACA569525A08  Time : 370.452 ms.
29025*2^20011-1 is not prime.  LLR Res64: D1547E46D6236FC0  Time : 372.568 ms.
29925*2^20011-1 is not prime.  LLR Res64: 6CABA4F2C129A28E  Time : 386.843 ms.
22095*2^20012-1 is not prime.  LLR Res64: 45344232DA7A89CA  Time : 387.571 ms.
23295*2^20012-1 is not prime.  LLR Res64: 0D4CFD0D5A037192  Time : 405.105 ms.
26829*2^20012-1 is not prime.  LLR Res64: 999E2A13E2A61359  Time : 380.208 ms.
20625*2^20013-1 is not prime.  LLR Res64: 3C6303C621ACCDFF  Time : 386.998 ms.
22365*2^20013-1 is not prime.  LLR Res64: 3A1503D91BAFDAB2  Time : 387.837 ms.
22785*2^20013-1 is not prime.  LLR Res64: 3DD5DFFC02AD09F9  Time : 388.531 ms.
