20625*2^40001-1 is not prime.  LLR Res64: D0011123CBD5C52D  Time : 1.447 sec.
22095*2^40001-1 is not prime.  LLR Res64: E35755668A84DBF6  Time : 1.470 sec.
27615*2^40001-1 is not prime.  LLR Res64: E69B255C541BECCF  Time : 1.458 sec.
16485*2^40002-1 is not prime.  LLR Res64: E4BDC266002008B3  Time : 1.461 sec.
29445*2^40002-1 is not prime.  LLR Res64: 49D7DCB6BAF6AB6C  Time : 1.471 sec.
18525*2^40003-1 is not prime.  LLR Res64: 9B2BA7A74482ECAD  Time : 1.465 sec.
18975*2^40003-1 is not prime.  LLR Res64: 222005F73B48D1AC  Time : 1.467 sec.
22365*2^40003-1 is not prime.  LLR Res64: 8B1751786367FD98  Time : 1.466 sec.
15645*2^40004-1 is not prime.  LLR Res64: 7F17EC021C3F2548  Time : 1.466 sec.
28215*2^40004-1 is not prime.  LLR Res64: 363C43D46D001D30  Time : 1.467 sec.
29925*2^40004-1 is not prime.  LLR Res64: 11C57868B6C80BB9  Time : 1.461 sec.
15645*2^40005-1 is not prime.  LLR Res64: 69E66C3513447D7B  Time : 1.457 sec.
16485*2^40005-1 is not prime.  LLR Res64: EACD48F7E3167471  Time : 1.461 sec.
16665*2^40005-1 is not prime.  LLR Res64: D5B5BBAE47B792CE  Time : 1.463 sec.
20625*2^40005-1 is not prime.  LLR Res64: 841D0300FDAC586E  Time : 1.474 sec.
22701*2^40005-1 is not prime.  LLR Res64: E6B12A0DCE6B3576  Time : 1.468 sec.
28605*2^40005-1 is not prime.  LLR Res64: C19EB3636171DAF5  Time : 1.457 sec.
16665*2^40006-1 is not prime.  LLR Res64: B7C373FF12952393  Time : 1.467 sec.
17295*2^40007-1 is not prime.  LLR Res64: B4757553B13230A3  Time : 1.467 sec.
21525*2^40007-1 is not prime.  LLR Res64: 1B3A7BB337148123  Time : 1.464 sec.
21825*2^40007-1 is not prime.  LLR Res64: 3589AFD9D9D6376C  Time : 1.465 sec.
29685*2^40007-1 is not prime.  LLR Res64: 5C5F74A958A896E3  Time : 1.468 sec.
29925*2^40007-1 is not prime.  LLR Res64: 29A91814B0DB8082  Time : 1.458 sec.
16887*2^40008-1 is not prime.  LLR Res64: 85E583B91B026A58  Time : 1.466 sec.
18975*2^40008-1 is not prime.  LLR Res64: 54FF46C155F8C122  Time : 1.462 sec.
27615*2^40008-1 is not prime.  LLR Res64: C82909E57E2FA77D  Time : 1.464 sec.
28665*2^40008-1 is not prime.  LLR Res64: 852FEDF26668CD02  Time : 1.457 sec.
16485*2^40009-1 is not prime.  LLR Res64: 29D91F3CE7E35537  Time : 1.467 sec.
29445*2^40009-1 is not prime.  LLR Res64: B3FD61ADAC7F6283  Time : 1.456 sec.
21285*2^40010-1 is not prime.  LLR Res64: 2474F590B83BCDF5  Time : 1.470 sec.
27615*2^40010-1 is not prime.  LLR Res64: CA0BD733FDCA1F4E  Time : 1.464 sec.
28635*2^40010-1 is not prime.  LLR Res64: EC2F1D24998A1E53  Time : 1.474 sec.
18975*2^40011-1 is not prime.  LLR Res64: 8B31979A2DCCBAF3  Time : 1.467 sec.
22701*2^40011-1 is not prime.  LLR Res64: C7988F859FF25117  Time : 1.466 sec.
26829*2^40011-1 is not prime.  LLR Res64: EE3E875AEC5A0CA5  Time : 1.484 sec.
20145*2^40012-1 is not prime.  LLR Res64: 45C29EB606B9EF7F  Time : 1.460 sec.
20625*2^40012-1 is not prime.  LLR Res64: 23AA86B3FA3381D3  Time : 1.456 sec.
22365*2^40012-1 is not prime.  LLR Res64: 120F951A2194A7A3  Time : 1.459 sec.
29445*2^40012-1 is not prime.  LLR Res64: A1A59283D9585540  Time : 1.458 sec.
16887*2^40013-1 is not prime.  LLR Res64: 76C28BA1E1347B3B  Time : 1.464 sec.
17295*2^40013-1 is not prime.  LLR Res64: 417834BDAB65446E  Time : 1.469 sec.
21285*2^40013-1 is not prime.  LLR Res64: F583E2E07352F4A2  Time : 1.476 sec.
29925*2^40013-1 is not prime.  LLR Res64: ADE291938D3978B9  Time : 1.472 sec.
22785*2^40014-1 is not prime.  LLR Res64: 6BF117104BAC96FF  Time : 1.465 sec.
16485*2^40015-1 is not prime.  LLR Res64: 4F10279CB7F27DA0  Time : 1.465 sec.
16665*2^40015-1 is not prime.  LLR Res64: ED0B48822A8B6051  Time : 1.460 sec.
22701*2^40015-1 is not prime.  LLR Res64: 627B39ABB146D5B6  Time : 1.467 sec.
29925*2^40015-1 is not prime.  LLR Res64: CDDC88EC70FA0330  Time : 1.464 sec.
15645*2^40016-1 is not prime.  LLR Res64: D08DB6AF42DA7982  Time : 1.466 sec.
16887*2^40016-1 is not prime.  LLR Res64: 139B241F32338C43  Time : 1.459 sec.
25905*2^40016-1 is not prime.  LLR Res64: 47ADC26C8FDCD634  Time : 1.465 sec.
29685*2^40016-1 is not prime.  LLR Res64: BBA34B6E3FB2C615  Time : 1.467 sec.
15645*2^40017-1 is not prime.  LLR Res64: A05465CCE8531F5A  Time : 1.465 sec.
18525*2^40017-1 is not prime.  LLR Res64: EDC21330EB7838B5  Time : 1.485 sec.
19635*2^40017-1 is not prime.  LLR Res64: B256BE8D819F26BC  Time : 1.474 sec.
22365*2^40017-1 is not prime.  LLR Res64: 1D2DD923AC14D2DF  Time : 1.467 sec.
