13845*2^676000-1 is not prime.  LLR Res64: 6858C032BCB7CCDE  Time : 279.179 sec.
23295*2^676000-1 is not prime.  LLR Res64: 79C210BB9D117788  Time : 332.930 sec.
23985*2^676000-1 is not prime.  LLR Res64: 01F2296D33C82550  Time : 332.384 sec.
22701*2^676001-1 is not prime.  LLR Res64: 3215AEC388431093  Time : 332.857 sec.
28215*2^676001-1 is not prime.  LLR Res64: 2B47D5851F8EA4CC  Time : 333.297 sec.
12753*2^676002-1 is not prime.  LLR Res64: 804D1F6B6FEF8D5F  Time : 276.414 sec.
16887*2^676002-1 is not prime.  LLR Res64: A3C75412142DBF41  Time : 284.536 sec.
19635*2^676002-1 is not prime.  LLR Res64: E1AF8807AF6E883F  Time : 365.344 sec.
21825*2^676002-1 is not prime.  LLR Res64: 34DE34AE7193D671  Time : 346.260 sec.
22365*2^676002-1 is not prime.  LLR Res64: F916A6D0A45583A4  Time : 331.522 sec.
22785*2^676002-1 is not prime.  LLR Res64: BBE668056B8EA8B0  Time : 330.824 sec.
23805*2^676002-1 is not prime.  LLR Res64: 57DF5B2565E522B4  Time : 332.002 sec.
22701*2^676003-1 is not prime.  LLR Res64: 8EC7C5DBF6FCC189  Time : 331.538 sec.
22785*2^676003-1 is not prime.  LLR Res64: 2B26BEC185900B81  Time : 333.231 sec.
12753*2^676004-1 is not prime.  LLR Res64: 7E368A5761EB856A  Time : 275.491 sec.
19635*2^676004-1 is not prime.  LLR Res64: 3F9A8B645B3B6D48  Time : 335.797 sec.
16485*2^676005-1 is not prime.  LLR Res64: AB084A525E75E3B3  Time : 313.413 sec.
29445*2^676005-1 is not prime.  LLR Res64: 941552105F8AA9D9  Time : 369.564 sec.
29925*2^676005-1 is not prime.  LLR Res64: 5E3B48CA845450DD  Time : 367.577 sec.
11655*2^676006-1 is not prime.  LLR Res64: 4CB8C15E77552A13  Time : 277.005 sec.
14895*2^676006-1 is not prime.  LLR Res64: FADE48E0BF327541  Time : 275.801 sec.
20145*2^676006-1 is not prime.  LLR Res64: E00433D9DA8F887A  Time : 354.788 sec.
22095*2^676006-1 is not prime.  LLR Res64: 0DDC4A5D4D9B7879  Time : 346.763 sec.
28215*2^676006-1 is not prime.  LLR Res64: 3F21742310B23313  Time : 333.290 sec.
20145*2^676007-1 is not prime.  LLR Res64: 7BEFBFBDE7811DC0  Time : 333.356 sec.
21885*2^676007-1 is not prime.  LLR Res64: 9E2D1281E4360B97  Time : 334.574 sec.
22785*2^676007-1 is not prime.  LLR Res64: 2FB5486F03ED24AC  Time : 367.287 sec.
20625*2^676008-1 is not prime.  LLR Res64: 2A8518C67A3CFEA8  Time : 366.178 sec.
23985*2^676008-1 is not prime.  LLR Res64: D4F41430EC589E02  Time : 366.713 sec.
25077*2^676008-1 is not prime.  LLR Res64: 9494F14629E0A635  Time : 338.231 sec.
25905*2^676008-1 is not prime.  LLR Res64: B9BAD54C5A59779E  Time : 332.209 sec.
16485*2^676009-1 is not prime.  LLR Res64: 98DED1F562F2DDFC  Time : 299.851 sec.
20145*2^676009-1 is not prime.  LLR Res64: 2CA974DE254FAAA3  Time : 367.628 sec.
23985*2^676009-1 is not prime.  LLR Res64: B6E002AFC65A232E  Time : 356.911 sec.
25905*2^676009-1 is not prime.  LLR Res64: 385151ED2E419D53  Time : 343.822 sec.
27615*2^676009-1 is not prime.  LLR Res64: A8EBD32D673E0DBD  Time : 365.190 sec.
22095*2^676010-1 is not prime.  LLR Res64: 4AEB5B66C12D7DA9  Time : 365.981 sec.
22365*2^676010-1 is not prime.  LLR Res64: 1788B4E495823B70  Time : 367.456 sec.
29685*2^676010-1 is not prime.  LLR Res64: EF25A3789E86F152  Time : 363.739 sec.
29925*2^676010-1 is not prime.  LLR Res64: CE02B9FF2E13139F  Time : 364.946 sec.
15645*2^676011-1 is not prime.  LLR Res64: 8FC4192FAA46D198  Time : 306.472 sec.
20625*2^676011-1 is not prime.  LLR Res64: 04371AFF5D3D0A2A  Time : 359.551 sec.
21885*2^676012-1 is not prime.  LLR Res64: 0342767673C10492  Time : 356.732 sec.
