16665*2^840000-1 is not prime.  LLR Res64: FEE991B84B8BBCB4  Time : 441.997 sec.
25905*2^840000-1 is not prime.  LLR Res64: 1B2FF724DDEC25EE  Time : 455.280 sec.
27615*2^840000-1 is not prime.  LLR Res64: B757A39B4D4B8791  Time : 455.866 sec.
14895*2^840001-1 is not prime.  LLR Res64: CF8810A9C3395452  Time : 440.040 sec.
16665*2^840001-1 is not prime.  LLR Res64: E3A4A3814DA6E6AB  Time : 441.671 sec.
18525*2^840001-1 is not prime.  LLR Res64: 763479A08AC782DE  Time : 465.561 sec.
21285*2^840001-1 is not prime.  LLR Res64: D1EB36BFA3E841AF  Time : 462.609 sec.
22701*2^840001-1 is not prime.  LLR Res64: 970911150ADB111F  Time : 442.047 sec.
22785*2^840001-1 is not prime.  LLR Res64: CA1AC57D8B261BF9  Time : 443.316 sec.
28605*2^840001-1 is not prime.  LLR Res64: D892CB6DB90EBCE1  Time : 495.515 sec.
29685*2^840001-1 is not prime.  LLR Res64: 92F9098AC46F7848  Time : 491.385 sec.
11961*2^840002-1 is not prime.  LLR Res64: 6BE73784BF5F5556  Time : 442.904 sec.
20145*2^840002-1 is not prime.  LLR Res64: 1D9A5BB3B0E1E169  Time : 441.874 sec.
22095*2^840002-1 is not prime.  LLR Res64: 35E13FFC4E520F3B  Time : 470.108 sec.
22701*2^840002-1 is not prime.  LLR Res64: 55209E01E666FD26  Time : 474.988 sec.
29445*2^840002-1 is not prime.  LLR Res64: F05D53E200AEE908  Time : 453.842 sec.
12045*2^840003-1 is not prime.  LLR Res64: B2B84ACFAB18FB75  Time : 468.380 sec.
13065*2^840003-1 is not prime.  LLR Res64: F2E3EF1C3DB6177D  Time : 473.666 sec.
14895*2^840003-1 is not prime.  LLR Res64: 8D5588BF47220FD5  Time : 441.836 sec.
18975*2^840003-1 is not prime.  LLR Res64: 1109B545C90D0AD2  Time : 439.337 sec.
20625*2^840003-1 is not prime.  LLR Res64: 3255B541F03300A7  Time : 441.208 sec.
13845*2^840004-1 is not prime.  LLR Res64: 7F2F6D3F4D868718  Time : 461.976 sec.
14895*2^840004-1 is not prime.  LLR Res64: B40F0111D4540DD6  Time : 455.611 sec.
18975*2^840004-1 is not prime.  LLR Res64: 267A2C72FCB453D9  Time : 440.141 sec.
20625*2^840004-1 is not prime.  LLR Res64: 0B0CDFC0FB5342F1  Time : 441.179 sec.
21825*2^840004-1 is not prime.  LLR Res64: EB84E05D51C5ABD7  Time : 439.843 sec.
11655*2^840005-1 is not prime.  LLR Res64: 1CEF1FD50D9678F3  Time : 442.269 sec.
13065*2^840005-1 is not prime.  LLR Res64: EF0DCE8324B3C8CB  Time : 438.655 sec.
13845*2^840005-1 is not prime.  LLR Res64: 13616EF251E3AAA4  Time : 440.445 sec.
21525*2^840005-1 is not prime.  LLR Res64: 748875B779F5D47D  Time : 439.138 sec.
16485*2^840006-1 is not prime.  LLR Res64: 402C8A4B21601D47  Time : 438.970 sec.
19635*2^840006-1 is not prime.  LLR Res64: C4D234B4BF4D805B  Time : 439.462 sec.
22095*2^840006-1 is not prime.  LLR Res64: BC6F0B4A03A65C59  Time : 441.008 sec.
28215*2^840006-1 is not prime.  LLR Res64: 4A2B3F63BECEE55F  Time : 454.973 sec.
29685*2^840006-1 is not prime.  LLR Res64: 5078E0688FADE5CB  Time : 474.288 sec.
12753*2^840007-1 is not prime.  LLR Res64: 72BE80FDEBA41AC2  Time : 473.138 sec.
29925*2^840007-1 is not prime.  LLR Res64: B3596727FF68F9A3  Time : 567.555 sec.
12045*2^840008-1 is not prime.  LLR Res64: 9F897B85FECA394B  Time : 485.669 sec.
14895*2^840008-1 is not prime.  LLR Res64: C23556A78AF3C285  Time : 483.815 sec.
