1183953*2^10004-1 is not prime.  LLR Res64: 5C55DA059B5AF470  Time : 180.202 ms.
1467763*2^10011-1 is not prime.  LLR Res64: 1DCE57BF441598A4  Time : 173.530 ms.
1195203*2^10015-1 is not prime.  LLR Res64: 9AFC8521138F622A  Time : 164.974 ms.
1467763*2^10023-1 is not prime.  LLR Res64: BDFF6A59DCF66B00  Time : 175.008 ms.
1195203*2^10026-1 is not prime.  LLR Res64: 94E9199995987580  Time : 181.098 ms.
1268979*2^10031-1 is not prime.  LLR Res64: 5FFE0D492F6017E2  Time : 180.828 ms.
1195203*2^10035-1 is not prime.  LLR Res64: FB4160704F9DE7F3  Time : 180.445 ms.
1183953*2^10036-1 is not prime.  LLR Res64: 455D69869EA223F8  Time : 166.369 ms.
1195203*2^10039-1 is not prime.  LLR Res64: 8DFB86F893BB785F  Time : 164.297 ms.
1268979*2^10041-1 is not prime.  LLR Res64: 3BE3147E1DE501D5  Time : 164.897 ms.
1268979*2^10045-1 is not prime.  LLR Res64: 3AB8EA86ADA84D19  Time : 165.205 ms.
1195203*2^10047-1 is not prime.  LLR Res64: F993A777FB290DF2  Time : 179.605 ms.
1268979*2^10051-1 is not prime.  LLR Res64: FB9B29EDB4CED39F  Time : 172.766 ms.
1467763*2^10051-1 is not prime.  LLR Res64: 90CA05418DA71CFD  Time : 180.473 ms.
1183953*2^10067-1 is not prime.  LLR Res64: 70F5C509CB7E672C  Time : 181.769 ms.
1467763*2^10071-1 is not prime.  LLR Res64: A3DE04105BF68D73  Time : 184.179 ms.
1195203*2^10075-1 is not prime.  LLR Res64: 3EAFA65663373468  Time : 178.363 ms.
1268979*2^10075-1 is not prime.  LLR Res64: A96B66DC343596E1  Time : 172.458 ms.
1268979*2^10076-1 is not prime.  LLR Res64: 3907A9CD810F647A  Time : 167.802 ms.
1268979*2^10084-1 is not prime.  LLR Res64: C7ADDC6BF3B191D8  Time : 163.714 ms.
1268979*2^10091-1 is not prime.  LLR Res64: 75B50829C189FC33  Time : 163.750 ms.
1268979*2^10096-1 is not prime.  LLR Res64: 8B956B08A07D7E58  Time : 166.853 ms.
1268979*2^10101-1 is not prime.  LLR Res64: 59826CDAEC35319B  Time : 164.904 ms.
1268979*2^10119-1 is not prime.  LLR Res64: 1574E5C568FDF9A7  Time : 166.099 ms.
1195203*2^10123-1 is not prime.  LLR Res64: E19A071EA93E71D4  Time : 178.678 ms.
1195203*2^10140-1 is not prime.  LLR Res64: 06DCBF7586C3CD80  Time : 177.502 ms.
1268979*2^10151-1 is not prime.  LLR Res64: 495206022CFD990D  Time : 172.330 ms.
1268979*2^10156-1 is not prime.  LLR Res64: 0F99B316D89110BE  Time : 181.397 ms.
1467763*2^10159-1 is not prime.  LLR Res64: 4A79C8889CF0E21A  Time : 171.710 ms.
1183953*2^10163-1 is not prime.  LLR Res64: C4B2D46B935159B0  Time : 161.608 ms.
1268979*2^10163-1 is not prime.  LLR Res64: A900C0E96AF97685  Time : 163.587 ms.
1268979*2^10169-1 is not prime.  LLR Res64: 33041AF997E27AED  Time : 164.703 ms.
1183953*2^10172-1 is not prime.  LLR Res64: D3DACF44156EAC7A  Time : 164.092 ms.
1195203*2^10179-1 is not prime.  LLR Res64: F77BFFA8917FB24B  Time : 165.673 ms.
1268979*2^10184-1 is not prime.  LLR Res64: 239B1A727480F028  Time : 165.490 ms.
1268979*2^10185-1 is not prime.  LLR Res64: E22743B3A5337F36  Time : 164.561 ms.
1183953*2^10187-1 is not prime.  LLR Res64: 905399A4702401C0  Time : 164.518 ms.
1195203*2^10188-1 is not prime.  LLR Res64: 8AB548EC2FA57C1E  Time : 166.278 ms.
1268979*2^10191-1 is not prime.  LLR Res64: B643D285FB54E1D0  Time : 165.028 ms.
1183953*2^10196-1 is not prime.  LLR Res64: FE17C4028B336805  Time : 164.642 ms.
1183953*2^10199-1 is not prime.  LLR Res64: 1804D021949C9ADB  Time : 164.533 ms.
1183953*2^10204-1 is not prime.  LLR Res64: CF46A59B638B8C60  Time : 164.836 ms.
1467763*2^10207-1 is not prime.  LLR Res64: A32F383DFA974583  Time : 165.041 ms.
1268979*2^10209-1 is not prime.  LLR Res64: AC7E48299DA14DDA  Time : 163.977 ms.
1268979*2^10211-1 is not prime.  LLR Res64: 0A049D7A40C1444D  Time : 163.892 ms.
1183953*2^10214-1 is not prime.  LLR Res64: F464E0B25762F953  Time : 165.413 ms.
1268979*2^10215-1 is not prime.  LLR Res64: BA8A4F0188B00777  Time : 180.485 ms.
1183953*2^10223-1 is not prime.  LLR Res64: 81389BE8B90290B3  Time : 174.730 ms.
1183953*2^10226-1 is not prime.  LLR Res64: E96B3B7906D75A31  Time : 166.933 ms.
1467763*2^10227-1 is not prime.  LLR Res64: 0A884E2154326C7E  Time : 162.398 ms.
1195203*2^10230-1 is not prime.  LLR Res64: A68258A42B42F7A7  Time : 165.029 ms.
1268979*2^10231-1 is not prime.  LLR Res64: 36172868BDBBF345  Time : 165.861 ms.
1268979*2^10235-1 is not prime.  LLR Res64: 65A736F95C1BB39F  Time : 164.020 ms.
1268979*2^10241-1 is not prime.  LLR Res64: 24D81FC7E44DD0C6  Time : 165.382 ms.
1268979*2^10244-1 is not prime.  LLR Res64: 72D41608C23D58A3  Time : 163.390 ms.
1268979*2^10251-1 is not prime.  LLR Res64: 8D747096914B87C4  Time : 161.889 ms.
1467763*2^10263-1 is not prime.  LLR Res64: ADFBA4D0D682413E  Time : 167.562 ms.
1268979*2^10265-1 is not prime.  LLR Res64: ADFED037C8CAB4DF  Time : 164.308 ms.
1195203*2^10267-1 is not prime.  LLR Res64: 5F24D50B13A5B36B  Time : 163.927 ms.
1268979*2^10268-1 is not prime.  LLR Res64: F673314504C3B066  Time : 165.795 ms.
1183953*2^10274-1 is not prime.  LLR Res64: 6548E320525A047F  Time : 167.552 ms.
1268979*2^10280-1 is not prime.  LLR Res64: C5C9A7AEE01CBB4D  Time : 171.515 ms.
1268979*2^10281-1 is not prime.  LLR Res64: 5B595F6DE5E71355  Time : 161.219 ms.
1268979*2^10284-1 is not prime.  LLR Res64: AF185A88F6745A7B  Time : 165.567 ms.
1467763*2^10287-1 is not prime.  LLR Res64: 9F93A263B8DB8293  Time : 164.560 ms.
1195203*2^10290-1 is not prime.  LLR Res64: FA0D0FBAFAAD41AB  Time : 167.356 ms.
1467763*2^10299-1 is not prime.  LLR Res64: E190F88B686BC6EC  Time : 161.662 ms.
1183953*2^10304-1 is not prime.  LLR Res64: 057212B63399CA5C  Time : 184.518 ms.
1268979*2^10304-1 is not prime.  LLR Res64: 0A9AD04CE3BBA230  Time : 189.682 ms.
1195203*2^10306-1 is not prime.  LLR Res64: CCBDD1D388CF9258  Time : 213.862 ms.
1268979*2^10321-1 is not prime.  LLR Res64: 824C23CA1DDFDC95  Time : 164.655 ms.
1195203*2^10338-1 is not prime.  LLR Res64: 06C540EB20E2C1F0  Time : 164.848 ms.
1268979*2^10339-1 is not prime.  LLR Res64: CD28C7703DB302CD  Time : 165.330 ms.
1467763*2^10343-1 is not prime.  LLR Res64: 3FBB7E6C1CEF5711  Time : 167.001 ms.
1268979*2^10345-1 is not prime.  LLR Res64: 26067270A996FD86  Time : 179.782 ms.
1195203*2^10350-1 is not prime.  LLR Res64: 62D2C5CC65565B96  Time : 227.908 ms.
1467763*2^10359-1 is not prime.  LLR Res64: 829B0EABD644C853  Time : 196.780 ms.
1467763*2^10375-1 is not prime.  LLR Res64: 42D3A5A3D7E93CE2  Time : 188.438 ms.
1195203*2^10378-1 is not prime.  LLR Res64: 53A8BFE0B9098B49  Time : 186.653 ms.
1195203*2^10380-1 is not prime.  LLR Res64: 9E9200C7F3FFB970  Time : 183.206 ms.
1467763*2^10383-1 is not prime.  LLR Res64: FC605517211C6257  Time : 173.080 ms.
1183953*2^10384-1 is not prime.  LLR Res64: 531BDA29B748D62F  Time : 170.657 ms.
1183953*2^10403-1 is not prime.  LLR Res64: 575A28CFB73D2784  Time : 163.171 ms.
1268979*2^10411-1 is not prime.  LLR Res64: C71747912163F9EE  Time : 164.818 ms.
1183953*2^10412-1 is not prime.  LLR Res64: 0E6EE6FBDB7E122A  Time : 167.731 ms.
1268979*2^10413-1 is not prime.  LLR Res64: A2D78CA86D849321  Time : 173.139 ms.
1268979*2^10415-1 is not prime.  LLR Res64: EA546DA541ED774A  Time : 172.755 ms.
1268979*2^10420-1 is not prime.  LLR Res64: 8BE7BEE2AF6433AD  Time : 173.091 ms.
1183953*2^10423-1 is not prime.  LLR Res64: 3A7EDC6E000060D5  Time : 173.206 ms.
1467763*2^10423-1 is not prime.  LLR Res64: C698100EC3B427D7  Time : 174.764 ms.
1268979*2^10424-1 is not prime.  LLR Res64: D8FBB5B1EC5BF816  Time : 170.808 ms.
1268979*2^10431-1 is not prime.  LLR Res64: 484AB4FD81CA1BE0  Time : 175.441 ms.
1183953*2^10432-1 is not prime.  LLR Res64: 2C392E63595772BE  Time : 170.588 ms.
1268979*2^10435-1 is not prime.  LLR Res64: 125E431AC61EEA8A  Time : 176.019 ms.
1467763*2^10443-1 is not prime.  LLR Res64: DF13F19D296F12BD  Time : 163.651 ms.
1268979*2^10445-1 is not prime.  LLR Res64: 26F0B0E77BDF3C9D  Time : 174.703 ms.
1183953*2^10451-1 is not prime.  LLR Res64: 15C62C415F2A6760  Time : 170.917 ms.
1195203*2^10452-1 is not prime.  LLR Res64: 5527A2BEA2F7640A  Time : 174.183 ms.
1183953*2^10454-1 is not prime.  LLR Res64: EC5DA774FF6E2F50  Time : 313.060 ms.
1268979*2^10464-1 is not prime.  LLR Res64: B0AACEB93B5275CF  Time : 175.280 ms.
1195203*2^10467-1 is not prime.  LLR Res64: 7C8870847AFE7567  Time : 172.067 ms.
1183953*2^10472-1 is not prime.  LLR Res64: 11EEA04CE4341A8F  Time : 183.725 ms.
1195203*2^10479-1 is not prime.  LLR Res64: CF3AF8434D1E6083  Time : 188.774 ms.
1268979*2^10479-1 is not prime.  LLR Res64: FA81D2EA52327CCB  Time : 188.566 ms.
1183953*2^10492-1 is not prime.  LLR Res64: F824DE7F562389BF  Time : 173.360 ms.
1195203*2^10495-1 is not prime.  LLR Res64: 03404A17F21863D5  Time : 172.769 ms.
1268979*2^10496-1 is not prime.  LLR Res64: 559066DF66739735  Time : 172.949 ms.
1183953*2^10499-1 is not prime.  LLR Res64: 0F86657FD30FF998  Time : 171.253 ms.
1268979*2^10500-1 is not prime.  LLR Res64: 9E5E3756472CDD31  Time : 176.175 ms.
1268979*2^10503-1 is not prime.  LLR Res64: 234A3EB3124CF9BE  Time : 172.286 ms.
1268979*2^10504-1 is not prime.  LLR Res64: 50829D8210E297C2  Time : 173.794 ms.
1183953*2^10507-1 is not prime.  LLR Res64: A6AE609A697474CA  Time : 170.054 ms.
1195203*2^10510-1 is not prime.  LLR Res64: 11D5E1AA4D51F362  Time : 175.623 ms.
1195203*2^10519-1 is not prime.  LLR Res64: 3F70EC481921C342  Time : 181.593 ms.
1467763*2^10523-1 is not prime.  LLR Res64: E8DBBC89A764C664  Time : 165.957 ms.
1183953*2^10526-1 is not prime.  LLR Res64: E2402634C9E2102E  Time : 172.513 ms.
1195203*2^10530-1 is not prime.  LLR Res64: EDF179A3E30F53F8  Time : 171.636 ms.
1268979*2^10531-1 is not prime.  LLR Res64: FF9E1D518B1086C0  Time : 173.876 ms.
1268979*2^10533-1 is not prime.  LLR Res64: F5311093886E8AD7  Time : 172.600 ms.
1195203*2^10539-1 is not prime.  LLR Res64: 5E11FDC5C622FBA5  Time : 170.393 ms.
1268979*2^10539-1 is not prime.  LLR Res64: 3DC0E125CA3EA22E  Time : 168.006 ms.
